time_start,accelerationX,accelerationY,accelerationZ,time_end,rotationX,rotationY,rotationZ,Class,Activity
0.003,0.0042305,0.0050337,-0.020325,0.005,-4.28E-05,0.012474,-0.00087965,0,Stand
0.013,-0.00028038,0.011153,-0.022526,0.014,-0.00065363,0.011252,-0.0014905,0,Stand
0.021,-0.013218,0.026723,-0.023402,0.023,-0.0024862,0.0020892,-0.0021014,0,Stand
0.031,-0.0060406,0.035018,-0.0042682,0.033,-0.0049297,0.0051435,-0.00087965,0,Stand
0.041,0.019178,0.045794,-0.002172,0.043,-0.0073731,0.0057544,-0.00087965,0,Stand
0.051,0.056363,0.039796,-0.012048,0.053,-0.0092057,0.0081978,-0.0045448,0,Stand
0.063,0.05167,0.026279,0.00060725,0.065,-0.012871,0.0045326,-0.0057666,0,Stand
0.071,0.066037,0.007949,0.029165,0.073,-0.015314,0.0081978,-0.0088209,0,Stand
0.081,0.084075,-0.0057976,0.041788,0.082,-0.017147,0.013696,-0.0088209,0,Stand
0.091,0.053171,0.00087225,0.025167,0.093,-0.020812,0.014306,-0.010043,0,Stand
0.101,0.031872,-0.0043515,0.028817,0.102,-0.020201,0.013085,-0.011875,0,Stand
0.111,-0.00025272,-0.0013783,0.027799,0.113,-0.024477,0.011252,-0.00821,0,Stand
0.121,-0.0084381,0.0032403,0.025794,0.122,-0.023256,0.0088087,-0.0075992,0,Stand
0.132,0.001276,0.0066905,0.018025,0.133,-0.022645,0.0051435,-0.00821,0,Stand
0.141,0.0025158,-0.010284,-0.0025754,0.143,-0.018369,0.0057544,-0.00821,0,Stand
0.151,0.015739,-0.020179,-0.00052953,0.153,-0.021423,0.0045326,-0.0088209,0,Stand
0.161,-0.0033941,-0.033649,0.022012,0.163,-0.021423,0.0069761,-0.0069883,0,Stand
0.171,0.0015335,-0.028887,0.039425,0.173,-0.01898,0.0045326,-0.0069883,0,Stand
0.182,0.00044537,-0.048057,0.064141,0.183,-0.01898,0.0057544,-0.0063774,0,Stand
0.192,0.013798,-0.052735,0.087427,0.194,-0.011649,0.012474,-0.0033231,0,Stand
0.203,0.042913,-0.017819,0.056117,0.204,-0.011649,0.013085,-0.00087965,0,Stand
0.212,0.044514,0.0052935,0.015233,0.213,-0.015925,0.013696,-0.0014905,0,Stand
0.222,0.049685,0.029555,0.01152,0.223,-0.015314,0.014917,-0.003934,0,Stand
0.232,0.052463,0.016411,0.041198,0.233,-0.016536,0.017361,-0.0021014,0,Stand
0.242,0.038557,0.017791,0.044314,0.243,-0.017147,0.022859,-0.0057666,0,Stand
0.251,0.033124,0.022392,0.03376,0.253,-0.015925,0.028356,-0.003934,0,Stand
0.264,0.020658,0.02112,0.033457,0.266,-0.011649,0.026524,-0.0069883,0,Stand
0.272,0.004529,0.0074837,0.024887,0.274,-0.014704,0.027746,-0.0057666,0,Stand
0.282,-0.0067883,0.013193,0.01751,0.284,-0.01226,0.022248,-0.0069883,0,Stand
0.292,-0.01226,0.011544,0.029744,0.294,-0.015314,0.018583,-0.0063774,0,Stand
0.302,0.0049458,-0.0090942,0.05906,0.303,-0.01959,0.017972,-0.0045448,0,Stand
0.312,0.018571,0.011233,0.046555,0.313,-0.01898,0.015528,-0.0051557,0,Stand
0.322,0.032141,0.030238,0.078492,0.323,-0.018369,0.018583,-0.0057666,0,Stand
0.333,0.019457,0.020416,0.066993,0.336,-0.017147,0.015528,-0.0063774,0,Stand
0.341,0.0042934,0.028436,0.035421,0.343,-0.017147,0.014306,-0.0094318,0,Stand
0.352,-0.0037804,0.031367,-0.0019259,0.353,-0.015314,0.01003,-0.0075992,0,Stand
0.361,0.0036001,0.023646,-0.018459,0.363,-0.013482,0.0051435,-0.0069883,0,Stand
0.371,0.0072641,0.0087806,-0.0045757,0.373,-0.014093,0.0063652,-0.0075992,0,Stand
0.381,0.01933,-0.0060871,0.0056341,0.383,-0.014704,0.0045326,-0.0088209,0,Stand
0.391,0.013387,-0.031747,0.014834,0.393,-0.010427,0.0063652,-0.0057666,0,Stand
0.402,0.0015163,-0.022454,0.0095515,0.403,-0.010427,0.00025657,-0.0021014,0,Stand
0.411,0.0026989,-0.043939,-0.014308,0.413,-0.0092057,-0.001576,-0.00026878,0,Stand
0.422,0.023007,-0.015003,0.011075,0.423,-0.014704,-0.0058521,-0.0014905,0,Stand
0.432,0.04803,0.031908,0.085829,0.433,-0.011649,-0.001576,-0.0021014,0,Stand
0.442,0.044445,0.062994,0.09896,0.443,-0.011649,0.0051435,-0.0027122,0,Stand
0.452,0.041024,0.083095,0.075467,0.453,-0.010427,0.0094195,-0.0027122,0,Stand
0.466,0.047275,0.10538,0.053927,0.467,-0.011038,0.012474,-0.0063774,0,Stand
0.473,0.017633,0.10802,0.029719,0.474,-0.0085949,0.013085,-0.0088209,0,Stand
0.482,0.0058985,0.095913,-0.0064416,0.483,-0.011649,0.007587,-0.011264,0,Stand
0.491,0.0023661,0.068083,-0.0072739,0.493,-0.01226,0.0039218,-0.010043,0,Stand
0.501,-0.012027,0.048805,-0.0029237,0.503,-0.01226,0.0014783,-0.010043,0,Stand
0.512,-0.022877,-0.011004,0.0088537,0.513,-0.0085949,-0.0040195,-0.0094318,0,Stand
0.521,0.00086784,0.011827,0.016321,0.523,-0.0061514,-0.013182,-0.00821,0,Stand
0.533,0.006464,0.010832,0.052084,0.535,-0.0043188,-0.016848,-0.010043,0,Stand
0.541,0.031129,0.018017,0.07133,0.543,-0.0067623,-0.012572,-0.00821,0,Stand
0.552,0.046371,0.046936,0.093663,0.553,-0.0067623,-0.014404,-0.0088209,0,Stand
0.562,0.047229,0.03746,0.10407,0.563,-0.0024862,-0.0082955,-0.010043,0,Stand
0.571,0.026686,0.01344,0.063565,0.573,-4.28E-05,-0.0064629,-0.0069883,0,Stand
0.581,-0.003356,-0.004275,0.031285,0.583,0.0017898,-0.0046304,-0.0051557,0,Stand
0.593,-0.02736,-0.0122,0.0084703,0.595,0.0085093,-0.010739,-0.00026878,0,Stand
0.604,-0.045488,0.0041546,0.0077496,0.605,0.0048442,-0.011961,0.0021747,0,Stand
